399,640,1197,1,True
363,1056,1380,1,False
607,752,1707,2,False
501,1082,1149,5,False
780,1785,336,3,False
246,704,1992,2,False
276,1865,639,1,False
791,1241,1809,7,False
1638,138,1293,1,False
675,1674,78,1,True
1071,2959,432,2,False
1515,1023,1323,5,False
1503,1256,741,3,False
132,2969,390,3,False
714,1718,1440,3,False
765,2641,963,6,False
1741,2112,687,2,False
1372,678,1782,1,False
1643,2079,408,5,False
1336,1848,156,1,False
19,1825,1329,1,True
523,1094,1023,5,False
568,779,1965,2,True
634,2627,573,4,True
1570,108,1062,2,True
298,2771,249,3,False
594,820,807,1,True
1484,408,525,1,False
750,1894,1470,1,False
1194,2697,669,7,False
56,2130,1098,2,False
1389,84,282,2,True
1807,101,159,4,True
1243,2365,1917,7,True
1277,101,159,6,True
1252,286,1884,4,True
762,2056,1443,1,True
1062,1296,810,1,False
1188,1159,1242,1,True
817,970,1320,3,True
527,1808,744,1,False
514,686,1692,1,True
858,1985,1095,1,False
421,271,1875,3,True
1038,876,798,1,False
1397,960,285,1,True
1381,1195,1494,3,True
1493,1918,1857,3,False
1933,1564,1959,4,False
1989,273,1236,2,False
1439,1748,363,3,False
1737,1220,1473,1,False
1836,2641,858,1,False
692,1103,288,1,True
1615,1454,1017,2,False
967,316,414,6,True
1142,807,828,2,True
471,387,909,7,True
1136,2259,1710,1,True
385,1949,312,4,False
1142,1656,1404,6,True
103,1689,84,1,False
1299,2464,1059,5,False
693,2724,246,1,True
584,2004,1029,1,True
70,1892,1536,5,True
1408,243,123,1,False
1557,1140,1104,1,True
397,535,1443,4,False
1516,731,732,1,True
128,2982,402,4,True
1274,1568,1425,4,True
325,2033,1257,1,True
1020,1258,1893,2,False
1960,1663,417,1,False
1139,2966,762,1,False
1806,134,1833,3,True
46,590,792,6,False
720,2121,123,3,True
1637,1756,1296,2,True
1953,715,111,2,False
817,703,873,1,False
1160,848,1812,1,True
1487,940,1047,2,True
1926,1992,1854,1,False
228,1034,327,6,False
1122,2139,783,4,True
1903,2139,336,1,False
1336,2279,1071,2,False
1117,1715,1659,1,False
190,2020,564,7,True
45,2142,1956,1,False
965,695,750,7,False
410,1719,660,7,False
960,2182,1731,1,False
1954,2225,261,1,True
574,1496,48,6,False
312,1931,489,7,False
1585,2608,144,1,True
856,2305,651,1,False
1122,367,1863,4,True
1380,138,1878,7,False
686,1547,492,1,False
941,186,1794,4,False
1980,865,699,4,True
1147,2127,441,1,False
1613,201,927,1,True
1118,1938,1995,6,False
136,407,1920,1,True
214,1638,1326,1,True
668,1911,1188,3,True
9,2006,300,4,True
482,2412,906,6,False
748,744,417,3,True
960,2795,369,2,True
1695,560,1782,4,False
761,1104,840,4,False
1148,1300,264,4,False
1813,1742,1812,1,False
298,2741,1017,2,False
115,2213,543,1,False
308,794,66,2,False
357,652,1581,3,True
1217,2265,864,2,True
115,775,99,5,False
1418,1375,330,1,False
307,1154,1803,5,True
1777,372,1785,4,False
823,1544,1917,1,True
1261,1044,288,1,False
708,2912,1860,1,False
535,486,1827,6,True
715,48,606,2,True
918,1464,684,1,True
1897,2874,705,4,True
709,217,1305,1,True
1692,1310,1521,5,True
741,1912,1425,5,True
774,2605,408,2,True
1003,2647,1101,5,True
1464,140,465,5,False
1723,101,747,6,False
1539,234,1602,1,True
281,1615,276,3,False
1573,982,1368,3,True
1790,2317,1722,1,False
1486,1787,957,7,True
863,2524,765,4,True
191,2340,1050,1,True
306,2079,1080,2,False
1338,232,1836,1,False
1149,1716,606,1,True
1558,2600,1098,6,True
1937,1887,1230,1,False
824,776,720,5,True
102,107,732,3,True
1088,2276,1707,5,False
1437,1689,1125,1,True
1388,2538,447,1,False
1501,596,1383,1,True
1563,2890,1215,2,False
552,2979,897,1,False
1873,688,1041,1,False
1726,1399,795,3,False
231,1181,498,1,True
703,2615,879,2,False
300,2648,1563,4,False
1625,12,1149,5,False
1363,338,1377,4,False
597,1697,1176,1,True
292,639,1770,7,True
442,2254,1104,6,False
1153,1759,447,1,True
512,1944,84,7,True
1314,2189,1629,5,True
1810,2459,1335,1,True
1276,2638,741,1,False
1198,2749,1497,2,False
347,1749,315,2,False
1866,2361,1062,2,True
1839,231,945,2,False
1283,1432,1668,1,False
181,1951,1350,2,False
1235,751,1554,6,True
1299,262,171,2,True
899,233,1827,2,False
1144,2190,1623,2,False
1349,1340,1059,5,True
1980,2383,66,2,True
1518,540,1377,7,False
1122,2646,1578,1,False
1064,865,1080,5,False
410,188,1380,1,False
1746,480,543,1,True
1265,2267,1659,3,False
1863,726,453,5,True
1735,2288,447,2,False
339,1195,1752,3,False
1638,2741,1803,7,True
1143,1788,777,1,True
774,2155,27,2,True
1940,1685,1356,3,True
359,982,1368,1,False
1835,157,39,1,False
1997,1919,1302,1,True
1096,1927,927,5,False
1373,2622,129,5,True
882,1610,564,1,False
1449,2883,1926,6,False
415,2668,270,7,False
397,2838,1680,4,False
1948,559,1029,1,True
925,1660,354,2,False
660,1902,846,3,False
1811,2092,555,1,False
453,1440,1710,1,True
1756,1576,513,3,True
1053,865,1080,6,False
873,852,1530,2,False
1176,1230,1506,1,False
1339,670,570,4,True
733,355,228,4,True
611,1906,1230,2,True
1636,746,903,5,True
997,1969,363,1,True
1458,1745,1452,2,True
1002,446,1872,1,True
197,2312,579,1,True
1856,2308,222,7,False
1033,620,1878,2,True
199,301,1599,4,True
1836,2441,309,1,True
609,813,1218,5,True
544,1038,666,2,False
386,1933,1656,2,False
409,2385,1995,5,False
222,1232,1518,1,False
1980,2750,654,5,False
936,1977,1791,3,False
1148,119,534,1,True
858,1182,1659,1,True
1873,624,1122,5,False
529,1008,1380,1,True
343,1274,369,4,True
1483,2229,819,1,True
1439,1440,1707,1,False
352,486,1794,1,False
1264,380,1941,4,False
1886,507,12,3,False
1822,2830,1104,6,True
211,1284,1680,3,True
1486,2519,162,3,False
951,485,477,1,False
1819,444,1008,2,True
256,1891,150,4,True
1106,357,1152,6,True
1751,2270,27,4,False
957,1554,891,4,True
1300,1336,840,1,True
522,2598,813,5,True
1564,1595,1716,6,False
1708,1223,1548,2,False
633,2115,930,2,True
32,1585,1728,6,False
142,183,279,1,False
566,1831,12,1,True
298,898,495,1,False
800,2323,1776,1,False
420,2473,1776,7,False
1890,2462,1101,7,False
1013,944,876,4,True
1261,1837,804,1,False
1459,1305,1251,7,False
876,1621,732,1,False
1352,140,483,4,False
1975,2857,570,1,False
1015,1768,1371,1,True
601,2608,1467,6,False
1736,167,1866,6,True
0,215,942,1,False
1716,384,1500,1,True
1123,1305,456,7,False
941,257,1017,1,True
389,1802,1830,3,False
1981,1615,1827,7,False
1362,827,1617,1,False
938,2813,306,2,True
1585,2389,1026,2,False
241,110,534,3,False
989,701,1953,4,True
724,1017,1899,2,False
1291,477,288,1,False
865,1224,552,5,True
1159,2206,789,3,False
721,99,1773,1,False
935,2540,1773,5,True
1011,1686,1065,1,True
205,292,1845,2,False
1615,183,1044,1,True
1546,2653,1614,2,False
1206,830,564,4,True
1069,1986,1956,2,False
589,159,405,5,True
516,1843,66,3,True
377,1163,42,4,False
1319,1575,1419,3,False
1603,1884,738,6,False
710,2035,72,2,False
470,2983,1302,5,False
749,2211,1701,5,True
686,1805,1149,1,True
706,2279,1071,5,False
1990,160,84,3,False
1090,1715,126,1,True
1155,1317,1212,2,False
