1503,912,20.99,35
92,1470,32.95,87
1939,924,11.0,122
1212,1017,15.6,102
2370,1230,10.98,173
2313,720,8.91,56
1086,1578,8.95,207
2446,1587,30.45,235
1399,795,10.95,117
2664,1617,10.99,248
1052,1407,5.99,52
2446,315,42.45,212
887,567,9.89,157
1096,27,54.8,6
2488,513,24.99,101
2047,1113,13.0,150
1769,354,58.0,197
705,42,37.74,91
854,1179,6.99,48
732,1524,16.5,151
2570,696,5.4,112
2475,96,12.99,129
349,1287,6.99,163
2565,1899,11.99,87
565,969,11.38,124
2494,1014,39.11,118
653,330,22.37,144
2927,1242,32.9,108
2748,486,8.0,176
2690,345,221.99,215
761,1479,20.75,176
1743,804,9.99,163
1456,1563,13.13,3
167,1866,21.99,228
503,1251,5.99,227
110,960,29.0,22
2879,1203,124.8,54
1689,84,28.95,34
2294,912,7.99,229
2237,168,19.95,225
2221,444,16.99,151
689,273,23.0,69
1035,648,13.99,222
2606,156,14.49,164
1165,474,31.8,241
469,1020,7.97,215
595,1014,23.39,23
1527,636,25.99,85
2794,1488,106.99,21
1292,1347,18.98,139
1966,1692,7.99,233
898,441,11.84,38
288,438,29.47,99
2640,1734,24.43,135
1096,1734,40.8,241
2726,1464,13.95,191
2742,1911,5.5,60
2056,114,44.0,88
2098,21,42.98,122
454,1128,27.64,140
99,1593,7.48,146
1469,120,21.15,88
1102,1491,32.99,1
2653,723,7.99,175
2972,492,9.5,135
2697,504,4.99,176
2376,1485,6.43,182
1860,1914,13.99,81
2369,1005,28.99,132
1759,1200,5.49,98
1209,738,73.0,247
990,1647,6.7,61
2454,1035,20.99,83
997,441,13.0,138
2886,1830,5.05,123
838,555,1.99,182
363,1659,28.0,76
1596,837,57.99,91
1665,966,53.97,12
786,603,9.99,21
1027,1539,6.99,108
1286,1182,17.99,229
240,1026,6.27,158
2949,1716,6.99,141
1699,1479,9.99,243
2770,273,8.78,130
71,1788,15.9,245
2443,294,12.06,6
168,291,2.98,209
2408,1200,62.55,72
1210,486,19.99,36
532,699,8.23,202
1243,444,14.99,53
321,417,33.99,51
2411,51,13.5,174
516,831,24.71,203
2454,675,16.99,211
848,1773,16.25,33
595,1488,23.39,129
1305,675,9.69,82
2720,1359,14.95,173
2897,579,8.19,126
1114,1083,19.13,56
1170,1695,20.95,45
1538,348,7.46,184
1887,441,6.0,230
2196,597,7.95,68
1804,1002,9.39,89
1597,1179,15.89,168
142,936,10.99,133
2357,1275,23.99,53
1603,267,24.99,32
2075,1431,365.69,9
825,714,24.92,154
1548,1248,14.95,135
813,669,10.83,50
408,1575,4.39,141
2362,1596,7.5,222
2625,804,8.99,164
2581,1851,21.6,89
843,1977,16.39,113
881,1590,17.29,37
969,1392,13.99,155
1130,1992,2.99,85
2951,912,29.5,158
509,1524,8.99,59
557,1257,37.24,125
1158,441,15.0,190
2773,447,15.0,82
2799,231,132.99,52
1209,1599,57.0,167
2972,1161,10.5,37
1805,234,17.19,135
770,1848,21.0,40
2397,456,23.0,190
866,357,104.99,114
2196,1299,7.95,77
1925,1758,33.0,166
403,309,4.99,134
175,90,23.99,120
1065,1797,15.99,42
973,1920,13.97,245
2034,1995,32.4,58
587,1845,37.92,218
2424,1905,11.5,28
1144,291,15.14,148
1056,1776,10.99,182
306,432,36.99,16
1421,1020,23.99,100
90,909,20.99,199
365,1818,5.99,224
2141,654,8.99,224
43,768,45.99,182
1359,1749,37.85,237
820,915,5.29,167
2603,828,22.95,232
1254,258,5.5,116
107,1185,20.15,14
2586,876,23.93,120
2503,1746,20.9,42
30,819,14.55,182
1053,606,22.95,68
2111,1239,15.98,69
704,45,12.25,67
2902,333,19.95,80
1321,1908,26.95,106
522,1968,4.29,92
2953,1449,41.95,176
1450,1311,6.38,94
2392,324,20.83,34
393,45,17.95,168
1966,729,7.99,108
234,909,107.0,78
1140,1617,18.99,1
591,3,8.25,193
1383,1389,245.12,63
1533,1755,8.9,140
701,1380,22.99,27
19,327,3.99,80
2231,351,14.5,228
378,312,10.45,63
455,504,16.99,43
1905,792,18.99,181
2338,81,9.9,5
502,306,19.98,162
1562,639,12.45,59
1896,1980,6.25,109
2620,24,16.95,73
1420,1575,14.0,161
1915,777,13.13,199
670,570,2.03,83
2632,69,36.97,160
2879,879,125.8,27
1881,1587,41.99,209
1592,1848,8.85,9
2013,1269,38.0,95
48,606,24.88,18
2008,402,3.39,158
1142,636,26.99,6
2230,1464,10.49,51
2525,906,7.98,181
2104,870,17.99,23
1417,1164,7.95,201
2641,1965,14.99,125
1640,1701,16.99,163
1181,1488,20.99,173
1767,1212,22.99,141
1514,933,7.99,89
152,1302,5.99,80
269,696,80.0,97
98,1917,338.0,47
2036,210,19.95,242
2473,96,21.0,3
2679,1596,8.95,46
1185,1218,7.98,246
2176,114,59.99,41
436,357,9.99,188
1250,927,26.25,151
1094,1017,94.0,16
2665,900,12.95,163
1267,1683,46.95,225
278,1302,11.99,204
374,1131,5.89,80
237,3,14.99,40
2432,519,17.29,150
570,60,38.99,204
416,234,15.87,52
410,1494,9.27,30
1939,1368,12.0,139
417,423,7.99,131
532,246,9.23,25
2986,1161,24.0,144
2862,1755,9.95,233
1256,741,9.99,155
1659,1119,8.99,130
1530,63,23.99,37
1055,642,13.99,48
474,1503,9.98,171
515,846,9.66,224
167,528,16.99,209
1325,612,12.9,129
2027,444,12.99,49
2600,354,24.95,205
1635,315,14.99,143
1461,96,16.88,101
138,1293,6.37,236
1072,141,41.99,186
325,1026,4.0,199
2778,819,9.2,65
1512,1608,14.0,44
2037,612,52.99,105
1168,129,30.99,8
2485,486,26.99,228
1656,717,29.99,235
129,1974,23.99,117
2239,1380,19.09,247
1419,1119,30.98,108
1489,570,70.25,185
2788,1953,10.99,196
2457,45,14.8,158
2024,1269,10.99,40
2780,1317,5.99,212
2951,1974,29.5,65
258,486,58.99,78
756,303,11.99,46
1629,786,11.6,138
2983,1302,22.0,31
1027,1857,6.99,65
2956,873,2.59,128
2646,1578,38.0,109
1115,1248,19.95,107
2275,261,16.93,8
2018,1197,6.29,135
1822,1707,45.99,207
2404,75,4.19,79
1763,204,755.99,43
2483,1392,1.2,81
1803,474,6.12,126
1397,1611,5.98,93
2091,810,28.0,79
531,1548,25.95,17
1392,597,28.86,126
1928,237,26.23,36
2575,1431,3.99,21
1238,1095,7.99,234
1518,129,27.98,226
412,1917,7.99,169
1262,1782,8.98,198
29,1458,6.97,163
876,279,21.77,242
1991,1326,14.99,38
1758,630,9.5,69
293,420,12.99,93
1193,1380,36.2,42
1888,390,5.99,128
632,297,12.99,45
358,969,21.5,240
1459,357,7.99,83
1342,951,34.44,49
2696,1995,4.99,44
2284,486,83.0,21
2920,1608,33.75,14
1551,273,6.49,125
2716,432,14.0,15
463,462,25.99,156
384,864,56.9,56
1237,1236,12.15,180
1092,1035,5.36,67
725,495,13.44,164
2130,1098,8.98,85
2114,1302,11.0,208
230,429,34.9,128
926,708,15.99,235
1802,1332,29.0,193
920,369,12.99,52
970,1893,8.99,221
1406,1809,11.99,199
1212,54,21.6,70
801,1536,16.32,113
712,336,8.0,136
2164,1722,35.0,223
1719,975,9.25,59
1355,1518,25.99,190
1973,429,16.99,144
76,423,18.96,83
1277,594,9.98,195
941,543,6.49,167
2171,1902,14.99,54
1606,120,9.75,227
1826,33,8.29,199
823,192,12.95,193
1149,903,25.98,135
1693,1506,22.95,133
1246,1362,36.0,103
2746,1029,11.19,238
2853,42,20.74,193
1223,1236,16.98,236
732,1464,18.5,160
790,237,19.98,151
757,1488,16.99,240
1016,1332,9.74,216
222,1584,4.85,203
2960,288,5.99,145
859,1983,9.81,26
392,1155,20.89,86
2348,1602,6.99,196
2446,1749,31.45,25
574,1284,58.87,241
2937,399,9.99,71
2770,996,8.78,182
1376,1677,11.5,102
47,189,16.97,112
1016,1014,10.74,85
268,1479,8.87,63
1571,180,7.99,44
367,1719,6.5,2
2541,1920,29.5,189
2284,1740,58.0,217
2839,207,17.99,120
1160,87,72.8,208
1866,339,8.99,85
1219,1863,9.99,205
1821,21,37.98,107
109,915,160.99,21
1725,1572,20.98,233
1720,1041,12.5,152
690,252,12.99,29
828,1467,12.99,8
1540,1011,25.0,152
1034,1359,15.91,224
1825,1329,11.99,4
2137,1830,9.99,183
1380,657,12.97,206
666,543,9.99,52
486,1080,19.95,78
1047,1911,15.98,8
2732,237,14.47,106
320,234,8.02,56
1327,1389,13.35,198
694,489,88.95,224
1793,798,32.92,127
300,51,5.23,44
2017,612,19.99,148
2326,267,21.95,217
2233,0,68.7,168
1268,1677,16.0,4
2350,1266,9.98,85
1146,1062,19.99,145
610,1080,7.65,215
2629,1833,12.95,111
956,1320,20.45,76
17,537,9.99,166
56,132,14.0,101
1571,1836,8.99,167
2244,330,5.3,101
1660,867,12.95,7
2746,978,17.19,237
2104,1092,21.99,174
132,1275,26.0,215
819,1038,4.99,146
807,651,24.95,31
1202,993,20.99,204
589,552,8.81,15
1567,339,30.67,42
1556,681,42.99,33
2294,1938,7.99,236
188,1974,32.99,132
1636,1491,12.99,139
454,468,23.64,8
1307,348,4.89,140
1704,786,19.16,36
182,1581,12.95,171
2511,828,5.0,193
1020,1809,87.99,87
2728,321,17.36,96
1203,177,13.99,92
1166,597,12.95,62
816,576,9.99,137
1029,516,21.0,7
2185,132,9.99,176
448,780,7.49,189
351,321,20.25,173
2264,1083,18.5,205
499,882,16.0,125
1206,759,17.02,123
789,1098,19.0,239
1342,315,27.44,210
2569,1077,147.0,17
1887,1230,6.0,211
2497,957,12.99,73
186,1260,27.98,152
727,207,20.0,60
1195,1920,15.01,242
2567,1791,21.75,145
200,1239,5.91,59
1005,498,61.95,138
2479,444,48.12,125
2092,756,29.5,239
2450,1839,25.99,47
2696,66,4.99,27
2102,966,14.99,27
2301,318,13.99,74
1372,1893,25.99,11
2596,1239,46.0,57
2409,1044,20.36,206
1843,390,7.99,113
2903,861,17.98,66
1817,54,6.98,164
993,1083,10.0,92
2941,1152,8.39,101
2574,1782,14.84,103
2469,66,28.95,7
1777,438,7.99,13
2688,1707,13.0,193
2683,1110,16.99,196
913,1329,8.86,6
266,1413,22.0,55
657,1389,4.98,222
10,510,14.0,24
1514,165,6.99,128
1045,957,14.41,189
2681,1647,29.1,238
2526,1551,61.0,34
872,711,16.95,28
170,1842,14.99,152
2975,1887,12.75,167
1842,1212,3.78,181
2138,645,11.99,142
1203,1233,14.99,118
2337,1740,12.0,68
2280,942,121.95,211
1286,1761,15.99,116
1829,315,8.99,177
312,1338,34.99,208
444,1008,16.29,147
2757,15,14.9,80
1894,336,8.87,190
968,840,5.99,52
1644,1851,23.26,79
1355,45,18.99,28
1399,279,11.95,117
1074,1071,435.35,182
749,1692,12.48,67
1948,288,21.25,142
213,771,4.0,93
233,1179,15.99,45
1166,1461,11.95,82
1106,1905,19.97,20
1429,60,100.44,92
2521,903,5.99,1
1824,483,34.2,248
955,348,27.99,114
1551,1986,7.49,7
2777,36,5.95,55
2853,540,24.74,179
1639,1725,8.67,27
561,177,29.95,109
2148,1782,27.0,86
1972,1794,128.75,86
947,144,6.99,134
2897,54,7.19,11
2147,621,17.99,8
2207,960,36.0,147
2017,1659,20.99,47
1829,804,9.99,93
2766,906,8.99,59
1601,15,13.99,35
2451,1014,46.0,5
170,1638,12.99,21
571,462,23.95,105
1593,57,24.99,89
2308,48,16.91,95
1504,1050,9.99,94
265,1257,13.95,243
2355,774,31.5,55
2147,567,21.99,241
2070,342,12.99,158
677,1098,40.16,68
1829,567,8.99,93
398,972,13.0,220
734,1032,13.99,96
1531,822,6.49,106
847,612,4.21,153
1748,1800,17.79,94
559,93,3.99,249
2324,288,8.99,75
2559,612,2.99,223
2910,1884,8.71,158
1986,1515,13.99,104
1659,186,10.99,43
1312,372,36.99,148
1597,699,13.89,5
1874,963,6.99,131
897,957,7.99,179
562,831,303.95,4
1175,1914,21.95,234
27,675,10.9,221
1038,1950,46.8,198
513,1197,8.99,93
2759,1440,6.71,191
2454,1215,13.99,80
583,891,32.0,102
2906,1836,48.0,207
827,561,27.94,10
1679,621,10.99,177
1742,318,29.88,42
617,642,3.99,42
1421,642,29.99,27
518,774,5.99,48
250,855,10.49,28
1694,798,237.39,218
441,1704,42.04,8
1398,1302,47.2,228
2741,1803,36.86,109
1727,255,4.48,228
2967,459,9.95,33
1582,1119,19.5,208
1371,1584,8.42,139
2921,339,12.99,55
1322,1971,8.99,11
340,99,35.0,226
1686,1749,12.99,106
848,1038,16.25,240
2972,420,10.5,237
2692,525,7.99,112
815,624,117.54,108
2927,660,49.9,208
2523,1113,20.44,65
2086,717,13.9,145
209,1737,5.82,111
2624,309,7.99,84
1354,351,2.88,62
1241,1752,6.95,101
1966,456,7.99,34
974,423,12.12,120
1952,1680,8.8,223
1013,666,8.99,45
2933,906,1.0,116
826,1992,89.95,202
1961,585,7.9,155
876,1749,21.77,111
1073,1197,14.99,186
2443,1662,11.06,205
960,1869,11.95,2
1251,1368,14.98,58
1185,1779,9.98,93
143,1308,5.99,192
197,162,7.99,116
1358,1977,17.99,28
1723,840,3.99,12
255,1071,5.99,225
2581,1614,26.6,214
2346,1659,12.99,152
2379,1263,19.49,26
443,555,15.0,142
979,708,10.99,103
836,156,26.99,218
307,699,14.99,177
2700,1407,14.99,59
485,477,41.47,108
1049,1869,10.79,142
2856,1197,22.99,190
2346,426,12.99,99
2387,1473,8.99,86
2621,1635,20.49,77
2190,1539,7.99,237
2961,933,25.39,70
1196,1167,13.15,216
850,291,16.5,50
416,744,18.87,81
871,1284,25.66,71
2141,1119,10.99,150
1951,1350,27.97,43
2616,369,25.99,3
1598,1206,29.99,155
666,183,10.99,86
1748,1164,16.79,237
1939,1758,12.0,233
353,108,45.99,43
2969,1020,5.99,130
1195,1494,16.01,69
602,1905,15.0,35
54,84,85.0,78
2983,1614,25.0,120
2522,513,18.19,168
37,1602,57.75,24
1283,78,3.69,67
1544,180,8.97,246
2000,507,60.98,162
450,1665,14.95,161
2916,1716,11.99,71
945,1833,24.99,246
2761,855,4.86,28
1880,69,8.99,65
1781,531,9.99,219
657,1320,4.98,155
2178,1776,32.74,59
97,1758,8.5,208
1055,1395,9.99,72
2148,1014,27.0,18
2634,1353,9.8,40
673,1038,16.6,138
1028,1080,20.99,66
2079,33,57.0,242
2688,1290,14.0,148
2911,1290,13.11,192
408,1398,4.39,189
756,1254,13.99,89
1743,855,9.99,22
2599,1740,8.95,234
2438,579,29.9,214
901,1365,17.97,142
2211,102,7.88,143
843,813,16.39,178
2992,873,21.95,10
790,1917,19.98,115
1205,9,11.99,112
2254,30,5.99,94
1716,708,18.0,197
1644,1536,28.26,186
373,1005,10.99,249
1611,1152,7.0,50
2064,726,15.93,201
1011,630,113.0,223
754,1386,11.0,21
949,1215,8.99,162
113,447,6.9,168
182,1740,12.95,125
1565,345,36.0,171
1875,1116,14.95,204
414,1098,15.75,220
781,951,19.99,198
12,207,8.0,127
837,1500,7.99,242
659,474,74.95,19
1690,1923,72.99,245
733,246,8.9,159
790,1503,20.98,41
1025,894,26.0,217
2736,1338,6.95,18
1932,894,16.97,176
2270,1125,40.1,167
1262,645,6.98,91
1812,1983,19.61,228
1479,195,11.99,151
554,1614,14.21,46
2988,12,49.83,207
2274,1482,72.95,2
2629,1335,10.95,112
195,99,9.99,109
2670,279,30.21,121
2445,642,11.07,241
74,531,34.0,18
77,771,8.99,196
649,666,15.99,233
2209,54,10.49,126
1359,465,57.85,16
2699,1830,80.0,164
935,1233,11.99,127
1070,306,9.99,95
2969,978,5.99,144
2108,918,87.95,41
759,1086,6.99,74
1697,1299,9.97,29
1523,1221,46.0,209
201,1254,23.45,145
1113,1758,18.99,61
69,168,12.95,60
1341,342,25.52,73
1048,1431,40.0,109
957,813,24.0,229
552,1671,19.58,93
1094,1122,81.0,105
1193,1113,35.2,36
2004,1029,12.99,20
1737,1065,6.96,46
2610,1899,26.9,74
2890,1536,2.99,161
1463,660,45.0,247
1913,1551,10.99,248
805,1077,5.95,184
2855,1848,22.99,209
1736,1986,13.98,81
1593,1296,34.99,34
1529,1152,6.49,182
2843,579,113.9,18
1542,636,10.79,13
1380,1158,14.97,202
2478,1683,252.97,40
672,1098,6.99,87
1229,888,11.99,190
700,1386,25.95,170
1900,426,8.99,82
499,90,13.0,84
2723,624,27.51,93
2519,147,23.0,224
2603,1689,29.95,5
1863,1461,34.99,20
838,636,1.99,96
29,912,8.97,87
2528,180,9.99,106
320,1329,8.02,122
2198,1980,4.99,96
94,252,21.99,182
28,759,39.75,173
445,1161,48.9,33
1952,1764,7.8,2
2176,96,82.99,238
680,1827,13.99,46
1853,585,14.99,239
2085,1443,12.9,69
2679,1392,10.95,195
696,1767,27.82,115
1987,1473,51.95,58
191,96,19.99,98
1990,723,28.99,137
2570,612,5.4,178
639,903,5.99,223
2548,324,6.5,56
257,1893,2.99,39
2769,1263,23.3,227
427,810,7.99,203
1503,1224,22.99,172
1069,21,3.99,94
879,282,49.99,97
1714,624,204.99,64
2664,1932,8.99,82
475,51,53.9,20
876,927,28.77,41
964,1767,8.29,164
1332,900,15.02,167
2133,1515,47.99,125
2626,1908,24.99,79
1815,822,32.94,161
2811,1044,19.99,48
1325,1239,8.9,90
1847,1479,22.0,153
1859,642,11.79,167
1791,1506,14.0,229
2012,1053,18.88,127
1494,1968,8.95,232
275,285,30.0,167
1210,1914,15.99,227
2682,1986,10.0,89
2780,1371,5.99,102
2218,1077,26.99,91
94,1818,21.99,57
2803,180,18.42,155
2204,666,12.99,130
1658,360,56.9,82
1391,156,10.85,131
2409,54,14.36,65
1974,834,6.35,42
1009,615,19.95,63
1109,1059,4.18,39
