0,434,28.36,4,2024-01-16 11:16:02.652273
1,525,283.5,14,2024-05-03 20:38:51.061006
2,389,606.39,25,2024-02-25 21:06:50.519290
3,409,366.96,13,2024-05-10 09:22:59.798494
4,230,1011.28,27,2024-11-06 04:43:14.756890
5,210,559.75,25,2024-07-17 04:11:57.957045
6,1371,38.88,2,2024-08-05 13:47:38.423673
7,753,65.93,5,2024-04-29 03:36:46.900953
8,1823,167.8,4,2024-01-25 11:02:31.608715
9,1100,12.69,1,2024-09-14 02:11:50.199059
10,671,250.17,12,2024-01-11 03:10:49.197061
11,295,475.24,21,2024-03-20 20:44:21.969162
12,1696,108.95,12,2024-04-04 00:43:49.484050
13,608,560.94,22,2024-03-28 12:39:43.935287
14,1422,154.15,8,2024-10-06 10:20:39.226610
15,36,565.77,27,2024-02-05 05:57:49.791312
16,136,25.99,2,2024-09-03 06:16:18.648927
17,417,137.03,6,2024-09-04 04:09:38.159970
18,507,256.25,21,2024-01-15 06:35:52.998323
19,785,164.24,4,2024-09-22 01:49:13.595870
20,1280,51.88,8,2024-06-06 13:51:57.671296
21,1054,593.41,27,2024-08-19 06:28:23.022110
22,1458,9.58,1,2024-04-11 11:29:11.945017
23,703,326.17,9,2024-09-16 00:35:02.615034
24,981,35.36,4,2024-06-15 22:49:20.122797
25,310,401.52,7,2024-05-03 12:48:26.749478
26,1823,87.13,5,2024-01-08 17:22:45.339950
27,1046,561.25,31,2024-02-23 01:14:34.484441
28,85,410.58,20,2024-04-07 01:52:13.715079
29,150,508.5,21,2024-07-14 11:13:14.110019
30,935,595.8,23,2024-09-27 21:39:30.304842
31,892,414.01,24,2024-02-03 06:00:39.718766
32,1735,61.91,5,2024-11-26 04:37:46.333811
33,118,583.37,26,2024-06-30 18:56:46.001902
34,799,52.76,3,2024-08-27 21:17:40.911924
35,501,197.77,7,2024-05-15 12:58:30.499825
36,791,71.8,4,2024-04-10 10:04:48.477162
37,545,140.29,15,2024-02-09 06:31:45.106584
38,588,748.18,34,2024-10-21 13:01:54.372618
39,1810,110.45,6,2024-06-10 09:26:11.880090
40,1763,21.99,1,2024-10-23 21:10:18.853240
41,778,155.56,8,2024-11-22 19:06:33.194113
42,125,310.81,19,2024-04-03 14:05:49.396515
43,332,395.43,14,2024-09-17 17:37:39.758705
44,1512,142.47,11,2024-10-04 20:44:48.803214
45,1442,86.65,5,2024-12-03 23:11:52.929469
46,351,7413.21,23,2024-05-22 13:02:39.456005
47,1328,370.25,28,2024-04-24 17:17:51.875815
48,39,334.22,20,2024-02-28 07:56:29.397038
