0,1162,1200,3,22.44,False
0,2025,1797,1,5.92,False
1,12,1149,4,24.0,True
1,1090,1296,1,16.95,True
1,344,1812,6,191.7,False
1,372,1785,3,50.85,False
2,2982,534,5,154.95,True
2,2856,1134,7,167.93,False
2,1918,918,2,35.9,False
2,2663,156,7,167.65,True
2,2147,1722,2,43.98,False
2,271,315,2,35.98,True
3,1633,1896,4,170.0,True
3,1295,759,5,69.0,False
3,1598,1305,4,127.96,False
4,1322,867,4,31.96,False
4,1574,726,4,54.0,False
4,1240,966,1,51.95,False
4,2144,1977,4,492.0,True
4,2640,1395,1,24.43,True
4,1799,1083,6,83.94,True
4,2394,999,7,273.0,False
5,2569,1077,1,147.0,True
5,1550,603,4,71.96,False
5,1586,228,1,10.72,True
5,1965,1629,1,6.98,True
5,1640,402,2,39.98,True
5,1007,1221,1,7.97,True
5,2140,1344,1,27.0,False
5,2230,1464,6,62.94,False
5,1503,447,5,119.95,False
5,2781,1953,3,65.25,True
6,2147,60,1,20.99,True
6,67,1953,1,17.89,True
7,1333,918,4,33.0,True
7,2586,1827,1,32.93,True
8,92,1005,4,167.8,False
9,834,861,1,12.69,True
10,2053,1149,1,5.69,False
10,2083,1236,3,14.82,False
10,237,3,1,14.99,True
10,1367,1656,1,4.79,False
10,1821,1692,6,209.88,False
11,1494,1968,1,8.95,False
11,1121,1485,2,73.98,False
11,868,1239,5,44.95,False
11,355,1185,4,26.0,True
11,2523,1113,1,20.44,False
11,837,1500,5,39.95,True
11,331,1272,1,100.01,True
11,2550,1839,2,160.96,True
12,1599,483,1,4.99,True
12,2241,1524,4,19.96,True
12,2773,1221,7,84.0,True
13,2083,1236,4,19.76,True
13,1029,357,4,88.0,False
13,382,657,6,179.94,True
13,1918,1950,1,17.95,True
13,2192,942,4,185.12,False
13,595,1014,3,70.17,True
14,818,1380,1,7.5,False
14,1375,1311,5,116.25,True
14,139,1353,2,30.4,False
15,954,1764,6,282.0,False
15,1194,1617,4,55.92,True
15,565,1155,2,26.76,False
15,1576,876,1,17.0,False
15,27,1176,2,17.8,True
15,1520,660,1,12.98,True
15,778,828,4,33.6,True
15,2950,1185,1,19.36,False
15,984,477,3,28.35,False
15,2423,783,3,72.0,False
16,1091,117,1,16.0,True
16,1615,510,1,9.99,False
17,438,840,3,38.07,True
17,2202,180,1,75.0,True
